kol,rejim,origin,model,hedef_ay,y_true,y_pred_q50
T0,SOK_2020_04_2022_12,2022-04-01,RecursiveTabular,2022-07-01,20.249653394811894,11.034483909606934
T0,SOK_2020_04_2022_12,2022-04-01,DirectTabular,2022-07-01,20.249653394811894,4.942804336547852
T0,SOK_2020_04_2022_12,2022-04-01,ETS,2022-07-01,20.249653394811894,-15.516290983856223
T0,SOK_2020_04_2022_12,2022-04-01,Theta,2022-07-01,20.249653394811894,-20.326753616333008
T0,SOK_2020_04_2022_12,2022-04-01,Chronos2,2022-07-01,20.249653394811894,21.3953857421875
T0,SOK_2020_04_2022_12,2022-04-01,Toto2,2022-07-01,20.249653394811894,28.19196891784668
T0,SOK_2020_04_2022_12,2022-04-01,WeightedEnsemble,2022-07-01,20.249653394811894,20.650217265873163
T0,SOK_2020_04_2022_12,2022-04-01,sifir,2022-07-01,20.249653394811894,0.0
T0,SOK_2020_04_2022_12,2022-04-01,son12_ortalama,2022-07-01,20.249653394811894,5.207899294477617
T0,SOK_2020_04_2022_12,2022-05-01,SeasonalNaive,2022-08-01,-9.64886759745382,31.56739785908104
T0,SOK_2020_04_2022_12,2022-05-01,RecursiveTabular,2022-08-01,-9.64886759745382,30.77740478515625
T0,SOK_2020_04_2022_12,2022-05-01,DirectTabular,2022-08-01,-9.64886759745382,2.5375211238861084
