kol,blok,origin,model,hedef_ay,y_true,y_pred_q50
T1,SELECT,2023-07-01,WeightedEnsemble,2023-10-01,-24.937052677846825,-12.845347183494777
T1,SELECT,2023-07-01,sifir,2023-10-01,-24.937052677846825,0.0
T1,SELECT,2023-07-01,son12_ortalama,2023-10-01,-24.937052677846825,2.313731448320652
T1,SELECT,2023-08-01,SeasonalNaive,2023-11-01,-21.294534475816985,-3.783463639868754
T1,SELECT,2023-08-01,RecursiveTabular,2023-11-01,-21.294534475816985,-11.097569465637207
T1,SELECT,2023-08-01,DirectTabular,2023-11-01,-21.294534475816985,2.15818452835083
T1,SELECT,2023-08-01,ETS,2023-11-01,-21.294534475816985,-25.385439765180884
T1,SELECT,2023-08-01,Theta,2023-11-01,-21.294534475816985,-29.393430709838867
T1,SELECT,2023-08-01,Chronos2,2023-11-01,-21.294534475816985,0.09455633163452148
T1,SELECT,2023-08-01,Toto2,2023-11-01,-21.294534475816985,-5.532744407653809
T1,SELECT,2023-08-01,WeightedEnsemble,2023-11-01,-21.294534475816985,0.39550211528937024
T1,SELECT,2023-08-01,sifir,2023-11-01,-21.294534475816985,0.0
T1,SELECT,2023-08-01,son12_ortalama,2023-11-01,-21.294534475816985,1.0021617946019843
T1,SELECT,2023-09-01,SeasonalNaive,2023-12-01,-9.208524556168657,28.77075430136385
T1,SELECT,2023-09-01,RecursiveTabular,2023-12-01,-9.208524556168657,30.54412269592285
T1,SELECT,2023-09-01,DirectTabular,2023-12-01,-9.208524556168657,2.1743600368499756
T1,SELECT,2023-09-01,ETS,2023-12-01,-9.208524556168657,-24.761230480636765
T1,SELECT,2023-09-01,Theta,2023-12-01,-9.208524556168657,-29.015316009521484
T1,SELECT,2023-09-01,Chronos2,2023-12-01,-9.208524556168657,6.399893760681152
T1,SELECT,2023-09-01,Toto2,2023-12-01,-9.208524556168657,10.550454139709473
